Company,Address,"County, (IN)"
Inland Steel co,"4407 Railroad Ave, East Chicago, IN 46312",Lake
TMS International,"1 North Broadway Gary, IN",Lake
Nucor,"4537 South Nucor Road Crawfordsville, IN",Montgomery
Nova Steel,"4809 Tod Avenue East Chicago, IN",Lake
US Steel,"101 E 129th St, East Chicago, IN 46312",Lake
Arcellormittal,"3001 East Columbus Drive, East Chicago, IN",Lake
Nucor,"305 Industrial Parkway, Waterloo, IN",DeKalb
Specialty Steel Works,"1412 150th St, Hammond, IN 46327",Lake
Heidtman Steel Products,"4400 Co Rd 59, Butler, IN 46721",DeKalb
Arcellormittal,"3210 Watling Street, East Chicago, IN",Lake
Nucor,"6730 CR 60 St. Joe, IN 46785",DeKalb
Arcellormittal,"250 US-12, Burns Harbor, IN 46304",Burns Harbor
